,reals_0,reals_1,imags_0,imags_1
0,1.0,0.7727176163782178,0.0,0.6080071799281783
1,1.0,0.7727176163782178,0.0,0.6080071799281782
2,1.0,0.772717616378218,0.0,0.6080071799281781
3,1.0,0.7727176163782178,0.0,0.6080071799281783
4,1.0,0.7727176163782178,0.0,0.6080071799281782
5,1.0,0.7727176163782178,0.0,0.6080071799281783
6,1.0,0.7727176163782177,0.0,0.6080071799281784
7,1.0,0.7727176163782178,0.0,0.6080071799281783
8,1.0,0.7727176163782178,0.0,0.6080071799281783
9,1.0,0.7731270410059075,0.0,0.6083293580532265
10,1.0,0.7768632116368618,0.0,0.611269320415446
11,1.0,0.7801850717399008,0.0,0.6138831776056687
12,1.0,0.7828818686197206,0.0,0.6160051238717491
13,1.0,0.784781714389977,0.0,0.6174999561894083
14,1.0,0.7857630914585819,0.0,0.6182721069392412
15,1.0,0.7857630914585807,0.0,0.6182721069392426
16,1.0,0.7847817143899747,0.0,0.6174999561894114
17,1.0,0.7828818686197193,0.0,0.616005123871751
18,1.0,0.7801850717399004,0.0,0.6138831776056692
19,1.0,0.7768632116368617,0.0,0.6112693204154461
20,1.0,0.773127041005908,0.0,0.6083293580532263
21,1.0,0.7727176163782178,0.0,0.6080071799281782
22,1.0,0.7727176163782178,0.0,0.6080071799281782
23,1.0,0.7727176163782178,0.0,0.6080071799281783
24,1.0,0.7727176163782178,0.0,0.6080071799281783
25,1.0,0.7727176163782178,0.0,0.6080071799281782
26,1.0,0.7727176163782178,0.0,0.6080071799281782
27,1.0,0.7727176163782178,0.0,0.6080071799281782
28,1.0,0.7727176163782178,0.0,0.6080071799281782
29,1.0,0.7727176163782178,0.0,0.6080071799281782
